"count","school_lab","year_group_lab","gender_lab","fsm_lab","sen_lab"
128,"School A","All","All","All","All"
62,"School A","Year 8","All","All","All"
52,"School A","Year 10","All","All","All"
17,"School A","All","Girl","All","All"
26,"School A","All","Boy","All","All"
54,"School A","All","All","FSM","All"
59,"School A","All","All","Non-FSM","All"
64,"School A","All","All","All","SEN"
57,"School A","All","All","All","Non-SEN"
132,"School B","All","All","All","All"
70,"School B","Year 8","All","All","All"
52,"School B","Year 10","All","All","All"
19,"School B","All","Girl","All","All"
16,"School B","All","Boy","All","All"
55,"School B","All","All","FSM","All"
61,"School B","All","All","Non-FSM","All"
\N,"School B","All","All","All","SEN"
127,"School B","All","All","All","Non-SEN"
111,"School C","All","All","All","All"
37,"School C","Year 8","All","All","All"
62,"School C","Year 10","All","All","All"
18,"School C","All","Girl","All","All"
16,"School C","All","Boy","All","All"
55,"School C","All","All","FSM","All"
45,"School C","All","All","Non-FSM","All"
46,"School C","All","All","All","SEN"
59,"School C","All","All","All","Non-SEN"
107,"School D","All","All","All","All"
47,"School D","Year 8","All","All","All"
53,"School D","Year 10","All","All","All"
15,"School D","All","Girl","All","All"
22,"School D","All","Boy","All","All"
50,"School D","All","All","FSM","All"
41,"School D","All","All","Non-FSM","All"
52,"School D","All","All","All","SEN"
51,"School D","All","All","All","Non-SEN"
106,"School E","All","All","All","All"
48,"School E","Year 8","All","All","All"
47,"School E","Year 10","All","All","All"
16,"School E","All","Girl","All","All"
18,"School E","All","Boy","All","All"
52,"School E","All","All","FSM","All"
42,"School E","All","All","Non-FSM","All"
53,"School E","All","All","All","SEN"
46,"School E","All","All","All","Non-SEN"
110,"School F","All","All","All","All"
103,"School F","Year 8","All","All","All"
\N,"School F","Year 10","All","All","All"
13,"School F","All","Girl","All","All"
21,"School F","All","Boy","All","All"
54,"School F","All","All","FSM","All"
42,"School F","All","All","Non-FSM","All"
53,"School F","All","All","All","SEN"
52,"School F","All","All","All","Non-SEN"
106,"School G","All","All","All","All"
49,"School G","Year 8","All","All","All"
46,"School G","Year 10","All","All","All"
13,"School G","All","Girl","All","All"
23,"School G","All","Boy","All","All"
59,"School G","All","All","FSM","All"
40,"School G","All","All","Non-FSM","All"
46,"School G","All","All","All","SEN"
54,"School G","All","All","All","Non-SEN"
