"count","school_lab","year_group_lab","gender_lab","fsm_lab"
"30.0","School A","All","All","All"
\N,"School A","Year 7","All","All"
"13.0","School A","Year 8","All","All"
\N,"School A","Year 9","All","All"
\N,"School A","Year 10","All","All"
\N,"School A","Year 11","All","All"
\N,"School A","All","Girl","All"
\N,"School A","All","Boy","All"
"17.0","School A","All","All","FSM"
"13.0","School A","All","All","Non-FSM"
"30.0","School B","All","All","All"
\N,"School B","Year 7","All","All"
\N,"School B","Year 8","All","All"
"11.0","School B","Year 9","All","All"
\N,"School B","Year 10","All","All"
\N,"School B","Year 11","All","All"
\N,"School B","All","Girl","All"
\N,"School B","All","Boy","All"
"16.0","School B","All","All","FSM"
"14.0","School B","All","All","Non-FSM"
